f0,sigma,gain
4.023164776978619,1.1514416237291516,2.5259898952504974e-11
5.5219095454592955,1.15157338345258,-9.238339083394316e-12
7.726168659205542,1.1518423456276856,-5.131583942642763e-11
8.474027180213696,1.1519539330873965,-4.723447539542936e-11
9.694787758137705,1.1521582163463238,1.72751324236129e-11
10.575049236721709,1.1523225542085553,2.0294668438969347e-11
11.675387709292462,1.152548051080594,9.595749962069274e-11
14.076943769564137,1.1531176707309119,3.049344314355782e-11
14.381434639196582,1.1531974812442949,-3.794979587840192e-11
14.887709827035891,1.1533339622932606,-1.1698197440183319e-12
16.02957417659816,1.1536591181113527,4.278398514030998e-13
17.79822379537731,1.154210168373148,-5.702088411537568e-11
17.920536702654832,1.1542504071108977,2.376505209017804e-12
18.252405788084967,1.1543609743121122,-6.795096487671288e-12
20.549410851604247,1.155181873245983,-9.398732497814139e-13
21.923471404732734,1.155719391584511,1.2706417088284413e-11
23.118993581394296,1.156215361651148,1.0845416999440848e-11
23.481569428929078,1.1563709817599277,7.506952685706077e-11
23.908159871286585,1.156557178052331,-1.4121921337858384e-12
24.597976484768935,1.1568653591608509,-2.74552855313063e-11
26.45525469714906,1.1577386841317805,-1.5250479460704312e-10
26.759996845029715,1.1578880475773754,-2.0280269921000986e-11
27.99252932954403,1.1585096006472984,3.146900010184987e-13
28.689283013406442,1.1588733470286465,-2.7495439048235276e-11
29.04967271506795,1.1590650006268044,6.031342792236232e-11
32.31184366214496,1.1609086506323685,5.141479769181149e-11
32.37783665823417,1.1609479701816448,9.0623014872411e-11
32.801056998583235,1.161202037729877,-5.022657482399026e-13
34.36569886263269,1.162169970065856,-7.433491708593739e-11
34.971835301883445,1.1625570623068693,-3.0590186807078235e-11
35.47252501688105,1.162881918073276,2.718661551387635e-11
36.43725514964729,1.1635208719136583,-2.019424663186652e-11
37.316093031199685,1.1641178607217002,1.5101242258744668e-10
38.33386240321642,1.1648270035806945,1.273350482018935e-12
38.58276413174185,1.165003332611752,5.720178712639332e-11
39.89502202789777,1.1659518419652164,-5.97232158092389e-11
41.22641795918366,1.1669466025218374,3.223133303636123e-11
41.97242102225438,1.1675182569297136,4.605607864493102e-11
43.20787995019642,1.1684875233395469,-8.973619939775047e-11
44.591774559300205,1.169606630062012,1.4166723462581445e-12
45.5758063156191,1.1704238429594225,-8.612206246727199e-11
46.74460614683432,1.1714176762868085,-8.171328189181549e-11
47.25342016162265,1.1718581839620485,1.9996630129933413e-11
47.58933151072342,1.1721516139547767,-2.476850999249199e-12
48.69204353275781,1.173129481592359,9.058622520270363e-13
49.69495530463604,1.1740382979227104,1.8012303152356238e-11
50.529453124949484,1.174808623624388,5.031757327958444e-12
51.57583488027239,1.1757926666177267,-2.1329183634178207e-12
52.03069813600765,1.1762267205317134,-3.191592354461665e-11
52.99163350550141,1.177156225070834,-9.091051198838183e-11
53.100991355515994,1.1772630840049505,-1.989986780029326e-12
53.29331644128539,1.1774515487009118,-3.368190964255786e-11
56.406018837795834,1.180596524269769,-2.9900239771351108e-12
57.53908547135641,1.1817856473291684,8.091364977564169e-11
58.14213066164299,1.1824281698930268,-2.157236380702275e-11
59.287057602331835,1.18366648027337,-8.341737315051728e-13
59.96762409499064,1.1844139983178104,1.3687335412986816e-10
60.44391833745831,1.1849422235362004,6.662907793034201e-13
61.73706164642447,1.1863974344433865,4.033900569059148e-11
63.17547333145344,1.1880523083356944,5.4458423842384554e-11
63.778223576380455,1.1887570962166754,9.00208748443458e-11
64.27621913242773,1.1893444446271053,-1.9917156957405615e-11
65.2141585537861,1.1904630785032368,-1.0634434340636045e-12
66.11060191011279,1.1915473677488486,-1.1063304498886226e-10
67.31582922824998,1.193028475029464,6.46458050127906e-13
67.67285566988663,1.1934723630532693,5.353048454622851e-11
67.72633497905417,1.1935390556361087,9.990448449074124e-13
68.67836389792208,1.1947351216550113,4.375375817075931e-11
70.71632463052518,1.1973516034515053,2.6960550543195914e-12
70.74795568872031,1.1973928166381311,-1.3553392701417673e-10
70.9083644175304,1.197602102375648,-1.208837141758823e-12
71.9791997908514,1.1990113678813157,6.574153383146301e-11
76.01279422393559,1.2045093855451188,-1.4649707493844295e-11
76.10766263032468,1.2046423038843774,-6.411056958304592e-11
76.89441402361949,1.205750994894744,-2.993833056981426e-14
76.95012153732135,1.2058299302432676,2.9995090692156228e-12
77.2173892592324,1.2062094331024587,-2.774243762035868e-11
78.44826121876523,1.2079741756190672,-5.3006639466728006e-11
80.77885244088175,1.2113920713454127,2.338188557926119e-11
80.80821597500842,1.2114357722681328,5.187666623599657e-11
81.13564808225838,1.2119241562828877,-3.1603112639410736e-11
82.23536963575272,1.2135789102517935,1.155825132632905e-11
83.91536051600517,1.2161498083224203,-4.516010630234192e-12
84.06814625593897,1.216386196169361,6.420216119142273e-11
85.27238182424776,1.218264422999936,1.9211984062626925e-12
86.27712050583506,1.2198519395628242,-5.927804576163174e-11
86.63385133561177,1.2204200579896776,-2.539101930347266e-11
86.7919044324554,1.2206725178197124,1.2847890676669515e-12
86.87920286014698,1.2208121577666504,6.348318622865024e-11
87.84777837126065,1.2223708814640817,-7.29621107162771e-13
89.93232941695175,1.2257841572484656,-3.815088310501817e-11
91.43736349946454,1.228298281472912,1.364346946410216e-12
91.61193799752337,1.228592604714495,-1.7661890456081597e-12
92.5073948913117,1.2301111220596153,-6.59500733868007e-11
93.96341225482371,1.2326117730630821,8.501463666828553e-12
